Gross,Net,Conventional Accounting,Economic Sector,Sector,Category,Sub-Category 1,Sub-Category 2,Sub-Category 3,Year,Gas,MT CO2e AR5 20 yr,MT CO2e AR4 100 yr
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Wood,1990,N2O,28484,28592
Yes,No,No,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Wood,1990,Biogenic CO2,2399795,2399795
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Asphalt and Road Oil,1990,CO2,12130,12130
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Asphalt and Road Oil,1990,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Asphalt and Road Oil,1990,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Coal - Coking,1990,CO2,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Coal - Coking,1990,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Coal - Coking,1990,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Coal - Other,1990,CO2,19901,19901
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Coal - Other,1990,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Coal - Other,1990,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Distillate Fuel,1990,CO2,4090,4090
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Distillate Fuel,1990,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Distillate Fuel,1990,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Kerosene,1990,CO2,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Kerosene,1990,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Kerosene,1990,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,LPG,1990,CO2,50814,50814
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,LPG,1990,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,LPG,1990,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Lubricants,1990,CO2,429166,429166
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Lubricants,1990,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Lubricants,1990,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Lubricants (Transportation),1990,CO2,444503,444503
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Lubricants (Transportation),1990,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Lubricants (Transportation),1990,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Miscellaneous Petroleum Products,1990,CO2,232141,232141
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Miscellaneous Petroleum Products,1990,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Miscellaneous Petroleum Products,1990,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Natural Gas,1990,CO2,87993,87993
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Natural Gas,1990,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Natural Gas,1990,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Petroleum Coke,1990,CO2,39557,39557
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Petroleum Coke,1990,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Petroleum Coke,1990,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Residual Fuel,1990,CO2,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Residual Fuel,1990,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Residual Fuel,1990,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Special Naphthas,1990,CO2,84927,84927
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Special Naphthas,1990,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Special Naphthas,1990,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Waxes,1990,CO2,32977,32977
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Waxes,1990,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Waxes,1990,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Wood,1990,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Wood,1990,N2O,0,0
Yes,No,No,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Wood,1990,Biogenic CO2,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Road,Gasoline,1990,CO2,48992451,48992451
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Road,Gasoline,1990,CH4,1627609,542536
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Road,Gasoline,1990,N2O,613883,616209
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Road,Gasoline,1990,Biogenic CO2,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Road,Diesel,1990,CO2,8927343,8927343
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Road,Diesel,1990,CH4,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Road,Diesel,1990,N2O,2683,2693
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Road,Diesel,1990,Biogenic CO2,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Road,CNG,1990,CO2,105,105
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Road,CNG,1990,CH4,6,2
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Road,CNG,1990,N2O,0,0
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Road,CNG,1990,Biogenic CO2,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Aviation,Aviation Gasoline,1990,CO2,56925,56925
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Aviation,Aviation Gasoline,1990,CH4,4377,1459
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Aviation,Aviation Gasoline,1990,N2O,206,207
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Aviation,Jet Fuel,1990,CO2,5778489,5778489
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Aviation,Jet Fuel,1990,CH4,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Aviation,Jet Fuel,1990,N2O,56567,56781
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Railroad,Distillate Fuel,1990,CO2,121775,121775
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Railroad,Distillate Fuel,1990,CH4,796,265
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Railroad,Distillate Fuel,1990,N2O,800,803
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Railroad,Distillate Fuel,1990,Biogenic CO2,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Military,Distillate Fuel,1990,CO2,113072,113072
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Military,Distillate Fuel,1990,CH4,5935,1978
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Military,Distillate Fuel,1990,N2O,502,503
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Military,Distillate Fuel,1990,Biogenic CO2,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Military,Residual Fuel,1990,CO2,119017,119017
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Military,Residual Fuel,1990,CH4,986,329
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Military,Residual Fuel,1990,N2O,899,903
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Military,Residual Fuel,1990,Biogenic CO2,0,0
No,No,No,Excluded,Energy,Fuel Combustion,Transportation,Bunker (Vessel),Distillate Fuel,1990,CO2,99426,99426
No,No,No,Excluded,Energy,Fuel Combustion,Transportation,Bunker (Vessel),Distillate Fuel,1990,CH4,5218,1739
No,No,No,Excluded,Energy,Fuel Combustion,Transportation,Bunker (Vessel),Distillate Fuel,1990,N2O,441,443
No,No,No,Excluded,Energy,Fuel Combustion,Transportation,Bunker (Vessel),Distillate Fuel,1990,Biogenic CO2,0,0
No,No,No,Excluded,Energy,Fuel Combustion,Transportation,Bunker (Vessel),Residual Fuel,1990,CO2,488029,488029
No,No,No,Excluded,Energy,Fuel Combustion,Transportation,Bunker (Vessel),Residual Fuel,1990,CH4,4042,1347
No,No,No,Excluded,Energy,Fuel Combustion,Transportation,Bunker (Vessel),Residual Fuel,1990,N2O,3688,3702
No,No,No,Excluded,Energy,Fuel Combustion,Transportation,Bunker (Aircraft),Jet Fuel,1990,CO2,11466588,11466588
No,No,No,Excluded,Energy,Fuel Combustion,Transportation,Bunker (Aircraft),Jet Fuel,1990,CH4,0,0
No,No,No,Excluded,Energy,Fuel Combustion,Transportation,Bunker (Aircraft),Jet Fuel,1990,N2O,112248,112674
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Other,Diesel,1990,CO2,470643,470643
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Other,Diesel,1990,CH4,3900,1300
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Other,Diesel,1990,N2O,11405,11448
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Other,Diesel,1990,Biogenic CO2,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Industrial/Commercial,Gasoline,1990,CO2,123035,123035
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Industrial/Commercial,Gasoline,1990,CH4,2480,827
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Industrial/Commercial,Gasoline,1990,N2O,4359,4375
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Industrial/Commercial,Gasoline,1990,Biogenic CO2,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Construction,Gasoline,1990,CO2,191264,191264
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Construction,Gasoline,1990,CH4,4002,1334
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Construction,Gasoline,1990,N2O,6505,6529
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Construction,Gasoline,1990,Biogenic CO2,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Agricultural,Gasoline,1990,CO2,123133,123133
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Agricultural,Gasoline,1990,CH4,947,316
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Agricultural,Gasoline,1990,N2O,3069,3080
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Agricultural,Gasoline,1990,Biogenic CO2,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Public Nonhighway,Gasoline,1990,CO2,279682,279682
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Public Nonhighway,Gasoline,1990,CH4,5853,1951
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Public Nonhighway,Gasoline,1990,N2O,9512,9548
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Public Nonhighway,Gasoline,1990,Biogenic CO2,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,1990,CO2,178858,178858
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,1990,CH4,3743,1248
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,1990,N2O,6083,6106
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,1990,Biogenic CO2,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Lawn and Garden,Gasoline,1990,CO2,995622,995622
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Lawn and Garden,Gasoline,1990,CH4,21124,7041
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Lawn and Garden,Gasoline,1990,N2O,43071,43234
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Lawn and Garden,Gasoline,1990,Biogenic CO2,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Marine/Boating,Gasoline,1990,CO2,438786,438786
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Marine/Boating,Gasoline,1990,CH4,8344,2781
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Marine/Boating,Gasoline,1990,N2O,73,73
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Marine/Boating,Gasoline,1990,Biogenic CO2,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Recreational Vehicle,Gasoline,1990,CO2,436700,436700
